Name
Water
Gas
Telecom
Electricity
Sanitary/Sewerage
Fire Hydrant
Breeching Inlet / Dry & Wet Riser / Hosereel
Sprinkler
ACMV
CCS / Cooling Towers
PWCS
CCTV / Security
Fibre
Mobile Operators
